#GENERATED_BY	cgatools
#GENERATED_AT	2011-Sep-25 11:57:28.488765
#SOFTWARE_VERSION	2.0.0.32
#FORMAT_VERSION	2.0
#TYPE	SV-EVENTS

>EventId	Type	RelatedJunctionIds	MatePairCounts	FrequenciesInBaselineGenomeSet	OriginRegionChr	OriginRegionBegin	OriginRegionEnd	OriginRegionLength	OriginRegionStrand	DestinationRegionChr	DestinationRegionBegin	DestinationRegionEnd	DestinationRegionLength	DestinationRegionStrand	DisruptedGenes	ContainedGenes	GeneFusions	RelatedMobileElement	MobileElementChr	MobileElementBegin	MobileElementEnd	MobileElementStrand
453	deletion	4517	65	0.00	chr19	12656083	12684124	28041	+						ZNF564							
454	deletion	4518	34	0.85	chr19	8514425	8514732	307	+						HNRNPM							
455	deletion	4520	61	0.00	chr19	6779020	6781052	2032	+						VAV1							
456	deletion	4521	164	0.60	chr19	4618653	4619603	950	+													
457	deletion	4524	60	0.25	chr19	1182661	1183179	518	+													
458	deletion	4526	126	0.75	chr19	423190	423678	488	+						SHC2							
459	deletion	4529	13	0.79	chr18	77499851	77500211	360	+						CTDP1							
460	deletion	4530	376	0.65	chr18	77309950	77312091	2141	+													
461	deletion	4531	122	0.00	chr18	76996867	76997405	538	+						ATP9B							
462	deletion	4532	10	0.17	chr18	76595141	76595953	812	+													
463	deletion	4533	168	0.75	chr18	76373714	76374638	924	+						LOC100132713							
464	complex	4536;4537	15;9	0.83;0.83																		
465	deletion	4542	22	0.98	chr18	72152442	72152782	340	+													
466	complex	4543;4544	13;7	0.69;0.69																		
467	deletion	4546	14	0.54	chr18	69896779	69897095	316	+													
468	deletion	4548	22	0.96	chr18	68846741	68847075	334	+													
469	deletion	4549	29	0.67	chr18	66228957	66229335	378	+													
470	deletion	4550	78	0.79	chr18	63766873	63769206	2333	+													
471	deletion	4551	12	0.98	chr18	55801592	55801918	326	+						NEDD4L							
472	deletion	4552	11	1.00	chr18	55671136	55671442	306	+													
473	deletion	4554	348	0.71	chr18	54946737	54948717	1980	+													
474	deletion	4555	161	0.04	chr18	54244950	54245624	674	+													
475	deletion	4556	239	0.94	chr18	51952968	51956964	3996	+													
476	deletion	4557	11	1.00	chr18	50925992	50926315	323	+						DCC							
477	deletion	4559	91	0.44	chr18	50462567	50463032	465	+						DCC							
478	deletion	4560	36	0.81	chr18	47019868	47020190	322	+													
479	deletion	4562	22	1.00	chr18	45996162	45996479	317	+						LOC647055							
480	complex	4565;4566	38;8	0.85;0.85																		
481	complex	4567;4568	56;8	0.98;0.98											SLC14A2							
482	deletion	4570	324	0.92	chr18	41031549	41032533	984	+													
483	deletion	4571	80	1.00	chr18	38864784	38868343	3559	+													
484	complex	4572;4573	33;5	0.79;0.79											LOC647946							
485	complex	4598;4599	28;3	0.87;0.87																		
486	deletion	4600	627	0.81	chr18	35306060	35306632	572	+													
487	deletion	4604	18	0.90	chr18	27629690	27630016	326	+													
488	deletion	4606	14	0.00	chr18	26273405	26278827	5422	+													
489	deletion	4607	11	0.96	chr18	25827892	25828225	333	+													
490	deletion	4608	219	0.60	chr18	24571620	24572341	721	+						CHST9							
491	deletion	4609	42	0.10	chr18	24134023	24134444	421	+						KCTD1							
492	deletion	4610	15	0.75	chr18	22892480	22892804	324	+						ZNF521							
493	deletion	4630	262	0.33	chr18	13143169	13144161	992	+													
494	deletion	4639	11	0.04	chr18	6272476	6273529	1053	+						L3MBTL4							
495	deletion	4641	195	0.15	chr18	4813798	4814480	682	+													
496	deletion	4642	113	0.10	chr18	4535387	4536734	1347	+													
497	deletion	4643	26	0.75	chr18	3997031	3997488	457	+													
498	deletion	4646	153	0.10	chr18	1199564	1200310	746	+													
499	deletion	4647	62	0.21	chr18	207031	207707	676	+						USP14							
500	deletion	4700	80	0.00	chr17	79583329	79586887	3558	+						NPLOC4							
501	deletion	4702	69	0.88	chr17	79470500	79471487	987	+													
502	deletion	4705	10	0.46	chr17	78717477	78718521	1044	+						KIAA1303							
503	deletion	4706	34	0.79	chr17	76282293	76283619	1326	+													
504	deletion	4707	13	0.73	chr17	75988298	75988613	315	+													
505	deletion	4712	11	0.98	chr17	69852154	69852481	327	+													
506	deletion	4713	28	0.79	chr17	68455097	68461187	6090	+													
507	deletion	4715	13	0.23	chr17	66548806	66549136	330	+						FAM20A							
508	deletion	4718	36	0.00	chr17	57947752	57948402	650	+						TUBD1							
509	deletion	4721	52	0.73	chr17	48427522	48427906	384	+						LOC100288444;XYLT2							
510	deletion	4722	147	0.42	chr17	47351795	47353098	1303	+													
511	deletion	4724	105	1.00	chr17	47037200	47037840	640	+						GIP							
512	deletion	4773	21	1.00	chr17	38378109	38378580	471	+						LOC100287488;WIPF2							
513	deletion	4774	98	0.00	chr17	37418138	37506360	88222	+						FBXL20							
514	deletion	4782	275	1.00	chr17	21321277	21322821	1544	+						KCNJ12							
515	deletion	4783	12	0.46	chr17	19571911	19572321	410	+						ALDH3A2							
516	deletion	4786	78	0.27	chr17	16505449	16506298	849	+													
517	deletion	4787	50	0.46	chr17	15789558	15793789	4231	+													
518	deletion	4789	173	0.42	chr17	11411667	11412314	647	+						FLJ45455;LOC100289291							
519	deletion	4792	20	0.42	chr17	3734808	3735866	1058	+						C17orf85							
520	deletion	4794	98	0.77	chr17	801626	802228	602	+						NXN							
521	deletion	4795	97	0.44	chr17	739010	739411	401	+						NXN							
522	deletion	4797	112	0.50	chr17	193753	197057	3304	+						RPH3AL							
523	deletion	4798	46	0.56	chr17	136823	138725	1902	+						RPH3AL							
524	deletion	4799	12	0.62	chr17	122942	123418	476	+						RPH3AL							
525	deletion	4803	14	0.96	chr16	86284321	86284629	308	+													
526	deletion	4804	51	0.75	chr16	85149539	85150127	588	+													
527	deletion	4806	159	0.31	chr16	82309323	82310241	918	+													
528	deletion	4807	81	0.60	chr16	81173909	81174416	507	+						PKD1L2							
529	deletion	4810	141	0.69	chr16	76539133	76544025	4892	+						CNTNAP4							
530	complex	4812;4813	26;52	1.00;1.00											HYDIN							
531	deletion	4817	212	1.00	chr16	70977799	70979894	2095	+						HYDIN							
532	deletion	4821	35	0.52	chr16	58647213	58650287	3074	+						CNOT1							
533	deletion	4823	19	0.83	chr16	56617028	56617362	334	+													
534	deletion	4835	67	0.65	chr16	33926781	33932754	5973	+													
535	complex	4836;5026;7837;8938	4;7;3;10	0.19;0.27;0.00;0.00											PLEKHA7							
536	deletion	4844	23	0.92	chr16	26608023	26608365	342	+													
537	deletion	4845	30	0.15	chr16	26383414	26383747	333	+													
538	deletion	4846	64	0.94	chr16	25340111	25343129	3018	+													
539	deletion	4847	10	0.85	chr16	23910887	23911193	306	+						PRKCB							
540	deletion	4848	12	0.96	chr16	23528553	23528866	313	+													
541	deletion	4849	411	0.96	chr16	23047775	23049531	1756	+													
542	deletion	4851	10	0.85	chr16	20778557	20778877	320	+						ACSM3;LOC730079							
543	complex	4853;4854	19;20	0.92;0.92											SYT17							
544	deletion	4855	57	0.00	chr16	18832526	18838378	5852	+						SMG1							
545	deletion	4856	14	0.46	chr16	14470553	14470845	292	+													
546	complex	4858;8151	10;18	0.02;0.60											SMOC1							
547	deletion	4871	110	0.08	chr16	4067093	4067573	480	+						ADCY9							
548	deletion	4873	164	1.00	chr16	1422879	1424198	1319	+						UNKL							
549	deletion	4874	10	0.87	chr16	796321	796762	441	+													
550	deletion	4877	41	0.98	chr15	101051767	101052332	565	+						LASS3							
551	deletion	4879	15	0.60	chr15	99574542	99575668	1126	+													
552	deletion	4881	242	0.02	chr15	95116012	95117027	1015	+													
553	deletion	4882	15	0.90	chr15	93515798	93516111	313	+						CHD2							
554	deletion	4885	14	0.88	chr15	91173990	91174323	333	+						CRTC3							
555	deletion	4886	186	0.48	chr15	86057011	86059202	2191	+						AKAP13							
556	deletion	4887	218	0.40	chr15	84541434	84543848	2414	+						ADAMTSL3							
557	deletion	4888	12	0.65	chr15	83773883	83774212	329	+													
558	deletion	4889	401	0.92	chr15	83551631	83557681	6050	+						HOMER2							
559	deletion	4890	40	1.00	chr15	77910872	77911246	374	+						LINGO1							
560	deletion	4892	103	0.00	chr15	72180168	72444629	264461	+						MYO9A	SENP8						
561	deletion	4893	14	1.00	chr15	72017307	72017667	360	+						THSD4							
562	deletion	4894	21	0.92	chr15	71885481	71885819	338	+						THSD4							
563	deletion	4896	124	1.00	chr15	68426010	68428935	2925	+						PIAS1							
564	deletion	4897	42	0.21	chr15	67868530	67869548	1018	+						MAP2K5							
565	deletion	4898	67	0.25	chr15	66877674	66878441	767	+													
566	deletion	4901	24	1.00	chr15	59712898	59713229	331	+													
567	deletion	4903	63	0.94	chr15	55218223	55224432	6209	+													
568	deletion	4904	12	0.81	chr15	52525194	52525527	333	+						MYO5C							
569	complex	4905;4906	30;3	0.90;0.90																		
570	deletion	4908	11	0.90	chr15	42017748	42018080	332	+						MGA							
571	complex	4909;4910;4911;4912;4913;4914;4915;4916;4917;4918;4919;4920	35;76;31;39;29;19;14;18;15;8;6;11	0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.04;0.12;0.12;0.02											TYRO3							
572	complex	4922;4923;4924;4926;4927;4928;4929;8130	5;10;6;7;12;21;7;8	0.00;0.00;0.08;0.00;0.02;0.21;0.21;0.10											ETFA;TYRO3		TYRO3/ETFA					
573	deletion	4933	132	0.88	chr15	39744391	39744860	469	+													
574	deletion	4935	25	1.00	chr15	39267016	39267370	354	+													
575	deletion	4936	300	0.37	chr15	36160131	36162216	2085	+													
576	deletion	4937	21	1.00	chr15	35009033	35009368	335	+													
577	deletion	4938	124	0.88	chr15	29411482	29411904	422	+													
578	deletion	4940	49	0.27	chr15	26962098	26962505	407	+						GABRB3							
579	deletion	4941	326	0.77	chr15	25931396	25932380	984	+						ATP10A							
580	deletion	4948	59	0.85	chr14	105274004	105274802	798	+													
581	deletion	4949	20	0.88	chr14	101990876	101991212	336	+													
582	deletion	4952	435	0.00	chr14	99781395	99786161	4766	+													
583	deletion	4953	73	0.62	chr14	98783991	98785098	1107	+													
584	deletion	5188	229	0.46	chr14	81878211	81880612	2401	+													
585	deletion	5189	31	0.60	chr14	81597053	81597372	319	+						TSHR							
586	deletion	5190	440	0.00	chr14	80788021	80797844	9823	+													
587	deletion	5191	349	0.27	chr14	80106290	80115051	8761	+						NRXN3							
588	deletion	5192	21	1.00	chr14	78828245	78828596	351	+													
589	deletion	5193	11	0.88	chr14	78250157	78250492	335	+													
590	deletion	5196	10	0.96	chr14	71437836	71438169	333	+						PCNX							
591	deletion	5198	80	0.04	chr14	70687839	70689460	1621	+													
592	deletion	5200	154	0.85	chr14	68603058	68603758	700	+						RAD51L1							
593	deletion	5202	247	0.67	chr14	65360394	65363548	3154	+													
594	complex	5204;8161	10;5	0.00;0.00											RHOJ;SYNE2		RHOJ/SYNE2					
595	deletion	5205	18	0.96	chr14	57031227	57031580	353	+													
596	deletion	5206	257	0.15	chr14	54710349	54713688	3339	+													
597	deletion	5210	13	0.98	chr14	46577938	46578258	320	+													
598	deletion	5211	254	0.17	chr14	42987528	42992934	5406	+													
599	deletion	5212	198	0.58	chr14	40609815	40617672	7857	+													
600	deletion	5215	221	0.12	chr14	34674478	34675018	540	+													
601	deletion	5216	19	1.00	chr14	34290048	34290387	339	+													
602	deletion	5217	39	0.00	chr14	32683941	32688939	4998	+													
603	deletion	5220	164	0.77	chr14	29728040	29728804	764	+													
604	deletion	5221	162	0.29	chr14	26590959	26592392	1433	+													
605	deletion	5222	187	0.15	chr14	25262337	25263127	790	+													
606	deletion	5223	29	0.75	chr14	23922251	23922651	400	+													
607	deletion	5225	301	0.96	chr14	22881667	22882260	593	+													
608	deletion	5226	110	0.83	chr14	21952499	21954662	2163	+						TOX4							
609	deletion	5227	17	0.90	chr14	21536144	21536470	326	+													
610	deletion	5228	10	0.94	chr13	113790951	113791278	327	+						F10;LOC100289447							
611	deletion	5230	17	0.35	chr13	112669623	112670307	684	+													
612	complex	5233;9226	44;3	0.00;0.00											PARP1							
613	deletion	5235	19	0.62	chr13	110417832	110419155	1323	+						IRS2							
614	deletion	5236	288	0.58	chr13	109361748	109362440	692	+						MYO16							
615	deletion	5238	152	0.58	chr13	106449323	106449921	598	+													
616	deletion	5239	11	0.94	chr13	105708103	105708447	344	+													
617	deletion	5241	62	1.00	chr13	104091765	104092247	482	+													
618	complex	5242;5243	26;11	0.81;0.81																		
619	deletion	5247	125	0.77	chr13	101894146	101896427	2281	+						NALCN							
620	deletion	5249	14	0.58	chr13	98721249	98721569	320	+													
621	deletion	5250	13	0.98	chr13	96633436	96633754	318	+						UGCGL2							
622	deletion	5251	14	0.67	chr13	95154280	95154540	260	+													
623	deletion	5257	57	0.37	chr13	78997640	78998750	1110	+													
624	deletion	5261	17	0.75	chr13	65637808	65638210	402	+													
625	deletion	5263	295	0.90	chr13	51069350	51075082	5732	+													
626	deletion	5265	12	0.92	chr13	47689490	47689804	314	+													
627	deletion	5266	25	1.00	chr13	46005455	46005792	337	+													
628	deletion	5267	470	0.83	chr13	43539797	43541450	1653	+						EPSTI1							
629	deletion	5268	321	0.35	chr13	43053300	43053944	644	+													
630	deletion	5271	130	0.63	chr13	39934176	39935480	1304	+						LHFP							
631	deletion	5272	200	0.73	chr13	39057319	39060205	2886	+													
632	deletion	5273	17	0.73	chr13	37414467	37414787	320	+													
633	complex	5276;5277	11;27	0.87;0.87											KIAA0774							
634	deletion	5278	10	0.90	chr13	29891572	29891883	311	+						KIAA0774							
635	deletion	5279	22	0.21	chr13	28268143	28269052	909	+													
636	deletion	5281	39	0.31	chr13	25309559	25309931	372	+													
637	deletion	5282	34	0.56	chr13	25270562	25270899	337	+						ATP12A							
638	deletion	5287	16	1.00	chr13	21730917	21731239	322	+						C13orf3							
639	deletion	5292	31	0.85	chr12	132942320	132942733	413	+													
640	deletion	5293	214	0.42	chr12	131851481	131852020	539	+													
641	deletion	5294	51	0.02	chr12	131730237	131828842	98605	+							LOC100128002						
642	deletion	5297	31	0.46	chr12	129572552	129574086	1534	+						TMEM132D							
643	deletion	5299	81	0.00	chr12	128909238	129555985	646747	+						TMEM132C	GLT1D1;LOC100128276;MGC16384;SLC15A4						
644	deletion	5306	12	0.88	chr12	123010351	123010680	329	+						RSRC2							
645	deletion	5307	227	0.10	chr12	117086883	117088222	1339	+													
646	deletion	5308	103	0.00	chr12	116451691	116476979	25288	+						MED13L							
647	deletion	5311	13	1.00	chr12	104293407	104293735	328	+						LOC253724							
648	complex	5313;5314	10;3	1.00;1.00																		
649	deletion	5315	57	1.00	chr12	96233592	96236338	2746	+													
650	deletion	5316	16	0.85	chr12	94358344	94358656	312	+													
651	deletion	5317	239	0.00	chr12	93504293	93505387	1094	+													
652	deletion	5319	130	0.27	chr12	84593114	84596017	2903	+													
653	deletion	5321	176	0.96	chr12	83844060	83844624	564	+													
654	deletion	5322	70	0.98	chr12	72356676	72358240	1564	+						TPH2							
655	deletion	5323	120	0.48	chr12	72189159	72190574	1415	+													
656	deletion	5324	67	0.27	chr12	70872266	70878217	5951	+													
657	deletion	5325	88	0.92	chr12	70594852	70597583	2731	+													
658	deletion	5336	19	0.31	chr12	52395160	52395932	772	+													
659	deletion	5338	11	1.00	chr12	47075366	47075714	348	+						LOC100288798							
660	deletion	5339	214	0.62	chr12	45903153	45909939	6786	+													
661	deletion	5340	231	0.96	chr12	43977456	43979556	2100	+													
662	deletion	5341	50	0.23	chr12	42697858	42700119	2261	+													
663	deletion	5342	52	0.83	chr12	42238070	42238894	824	+													
664	deletion	5355	216	0.33	chr12	30478287	30480993	2706	+													
665	deletion	5356	23	0.88	chr12	29573420	29573761	341	+													
666	deletion	5357	22	0.94	chr12	27434002	27434333	331	+						STK38L							
667	complex	5359;5360	35;18	1.00;1.00											ITPR2							
668	deletion	5361	130	0.00	chr12	19775664	19776440	776	+													
669	deletion	5363	221	0.25	chr12	17607352	17607856	504	+													
670	deletion	5364	153	0.67	chr12	17444827	17445939	1112	+													
671	deletion	5365	288	0.73	chr12	16420123	16421283	1160	+													
672	deletion	5369	157	0.96	chr12	9017080	9018106	1026	+						A2ML1							
673	deletion	5371	121	0.31	chr12	7822855	7824533	1678	+													
674	deletion	5374	228	0.77	chr12	5082219	5083162	943	+													
675	deletion	5384	302	0.42	chr11	134732900	134734114	1214	+													
676	deletion	5386	549	0.08	chr11	134601982	134607665	5683	+													
677	deletion	5388	46	0.00	chr11	131982185	131982612	427	+						NTM							
678	deletion	5389	340	0.00	chr11	129013515	129015277	1762	+						RICS							
679	deletion	5391	251	0.40	chr11	128682716	128683410	694	+						FLI1							
680	deletion	5394	333	0.00	chr11	125075404	125085644	10240	+						PKNOX2							
681	deletion	5396	202	1.00	chr11	122347596	122349280	1684	+													
682	deletion	5397	283	0.00	chr11	121030286	121031758	1472	+						TECTA							
683	deletion	5401	144	1.00	chr11	114433313	131230466	16797153	+							ABCG4;ACRV1;ADAMTS15;ADAMTS8;AMICA1;APLP2;APOA1;APOA4;APOA5;APOC3;ARCN1;ARHGEF12;ASAM;ATP5L;BACE1;BARX2;BCL9L;BLID;BSX;BUD13;C11orf44;C11orf45;C11orf60;C11orf61;C11orf63;C1QTNF5;C2CD2L;CADM1;CBL;CCDC15;CCDC153;CCDC84;CD3D;CD3E;CD3G;CDON;CEP164;CHEK1;CRTAM;CXCR5;DCPS;DDX25;DDX6;DPAGT1;DSCAML1;EI24;ESAM;ETS1;FAM118B;FAM55B;FAM55D;FEZ1;FLI1;FLJ39051;FOXR1;FOXRED1;FXYD2;FXYD6;GRAMD1B;GRIK4;H2AFX;HEPACAM;HEPN1;HINFP;HMBS;HSPA8;HYLS1;HYOU1;IL10RA;KCNJ1;KCNJ5;KIAA0999;KIRREL3;LOC100128242;LOC100129778;LOC100130353;LOC100132172;LOC100132514;LOC100287201;LOC100287298;LOC100287397;LOC100287473;LOC100287504;LOC100287696;LOC100288599;LOC100288634;LOC100288752;LOC100288845;LOC100288936;LOC100289010;LOC283143;LOC283155;LOC338667;LOC341056;LOC387820;LOC399959;LOC399965;LOC729173;LOC729492;LOC85389;LOC85390;LOC85391;MCAM;MFRP;MGC13053;MGC39545;MLL;MPZL2;MPZL3;NCRNA00167;NFRKB;NLRX1;NRGN;OAF;OR10G4;OR10G7;OR10G8;OR10G9;OR10S1;OR4D5;OR6M1;OR6T1;OR6X1;OR8A1;OR8B12;OR8B2;OR8B3;OR8B4;OR8B8;OR8D1;OR8D2;OR8D4;OR8G1;OR8G2;OR8G5;PAFAH1B2;PANX3;PATE1;PATE2;PATE3;PATE4;PCSK7;PDZD3;PHLDB1;PKNOX2;POU2F3;PRDM10;PRR10;PUS3;PVRL1;RICS;RNF214;RNF26;ROBO3;ROBO4;RPL23AP64;RPS25;RPUSD4;SC5DL;SCN2B;SCN3B;SCN4B;SIAE;SIDT2;SLC37A2;SLC37A4;SNX19;SORL1;SPA17;SRPR;ST14;ST3GAL4;STT3A;TAGLN;TBCEL;TBRG1;TECTA;THY1;TIRAP;TMEM136;TMEM218;TMEM225;TMEM25;TMEM45B;TMPRSS13;TMPRSS4;TP53AIP1;TRAPPC4;TREH;TRIM29;TTC36;UBASH3B;UBE4A;UPK2;USP2;VPS11;VSIG2;VWA5A;ZBTB44;ZNF202;ZNF259						
684	deletion	5404	164	1.00	chr11	114424914	114431931	7017	+						FAM55A							
685	deletion	5405	91	0.31	chr11	112617748	112618152	404	+													
686	deletion	5407	10	0.87	chr11	109976712	109977038	326	+						ZC3H12C							
687	deletion	5409	143	0.00	chr11	105587136	105605030	17894	+						GRIA4							
688	deletion	5411	41	0.19	chr11	103916405	103918468	2063	+						PDGFD							
689	deletion	5412	21	1.00	chr11	103410831	103411144	313	+													
690	deletion	5413	10	0.83	chr11	102471858	102472174	316	+						MMP20							
691	deletion	5417	86	0.67	chr11	98248208	98248604	396	+													
692	deletion	5418	16	0.81	chr11	96614773	96615100	327	+													
693	deletion	5419	322	0.25	chr11	95169380	95175432	6052	+													
694	deletion	5420	459	0.83	chr11	93679242	93681436	2194	+													
695	deletion	5423	117	0.00	chr11	92771871	92773329	1458	+													
696	deletion	5424	13	0.12	chr11	91370585	91371646	1061	+													
697	deletion	5426	19	0.44	chr11	88964485	88967933	3448	+						TYR							
698	deletion	5428	308	0.00	chr11	78132519	90669765	12537246	+							ANKRD42;C11orf73;C11orf82;CCDC81;CCDC83;CCDC89;CCDC90B;CHORDC1;CREBZF;CTSC;DLG2;EED;FAM181B;FOLH1B;FZD4;GRM5;LOC100130431;LOC100288816;LOC100289112;LOC100289518;LOC399939;LOC399940;LOC399942;LOC440061;LOC642425;LOC642446;LOC653111;LOC727828;LOC729384;ME3;NAALAD2;NARS2;NOX4;ODZ4;PCF11;PICALM;PRCP;PRSS23;RAB30;RAB38;SYTL2;TMEM126A;TMEM126B;TMEM135;TRIM49;TRIM53;TRIM64;TYR;UBTFL1;UBTFL2						
699	deletion	5429	14	0.58	chr11	81556183	81556550	367	+													
700	complex	5434;5435	13;4	0.60;0.60											RNF169							
701	deletion	5437	157	0.44	chr11	74024907	74027389	2482	+													
702	deletion	5444	115	0.54	chr11	69400843	69401405	562	+													
703	deletion	5447	12	0.00	chr11	68401616	68406885	5269	+													
704	complex	5449;8321	63;3	0.90;0.00											CTSW							
705	deletion	5459	15	0.94	chr11	61107799	61108138	339	+						DAK							
706	deletion	5463	92	0.13	chr11	60571609	60572096	487	+													
707	deletion	5464	66	0.35	chr11	58594188	58596019	1831	+													
708	deletion	5465	46	0.00	chr11	55747216	55751138	3922	+													
709	deletion	5484	12	0.08	chr11	49125633	49127643	2010	+													
710	deletion	5491	116	0.65	chr11	48600858	48604284	3426	+													
711	deletion	5492	197	1.00	chr11	48367519	48373700	6181	+						OR4C45							
712	deletion	5494	35	1.00	chr11	48351640	48352141	501	+													
713	deletion	5495	24	0.75	chr11	48120071	48120380	309	+						PTPRJ							
714	deletion	5496	100	0.52	chr11	47887667	47888194	527	+													
715	deletion	5497	138	0.48	chr11	47057588	47063706	6118	+						C11orf49							
716	deletion	5498	333	0.63	chr11	45429849	45431616	1767	+													
717	complex	5501;5502	21;18	1.00;1.00																		
718	deletion	5508	135	0.00	chr11	34116524	34125836	9312	+						CAPRIN1							
719	deletion	5509	15	0.85	chr11	33537687	33538010	323	+													
720	deletion	5511	55	0.38	chr11	31393776	31397649	3873	+						DNAJC24							
721	deletion	5513	86	0.54	chr11	29967579	29968467	888	+													
722	deletion	5514	95	0.83	chr11	29007202	29012888	5686	+													
723	deletion	5515	19	0.67	chr11	27657263	27657595	332	+						BDNFOS							
724	complex	5516;5517	14;3	0.81;0.81																		
725	deletion	5521	21	0.94	chr11	16996178	16996602	424	+						PLEKHA7							
726	deletion	5522	14	1.00	chr11	16597578	16597901	323	+													
727	complex	5528;5529	66;8	0.63;0.63											MICAL2							
728	deletion	5530	226	0.21	chr11	11822988	11824624	1636	+													
729	deletion	5531	164	0.00	chr11	9151969	10562954	1410985	+						LOC100129827	ADM;AMPD3;DENND5A;IPO7;LOC100288296;LOC283104;RNF141;SBF2;SNORA23;SWAP70;TMEM41B;WEE1;ZNF143						
730	deletion	5532	28	0.54	chr11	10292746	10293852	1106	+						SBF2							
731	deletion	5534	11	0.75	chr11	9323759	9324767	1008	+						TMEM41B							
732	complex	5536;5537	19;20	0.96;0.96											OVCH2							
733	deletion	5539	15	0.29	chr11	7209310	7209627	317	+													
734	deletion	5540	112	0.10	chr11	7134766	7136545	1779	+													
735	deletion	5541	31	0.56	chr11	6881365	6881964	599	+													
736	deletion	5543	210	0.58	chr11	5760087	5762365	2278	+													
737	deletion	5545	11	0.67	chr11	2215350	2215604	254	+													
738	deletion	5547	234	1.00	chr11	1662981	1663562	581	+													
739	deletion	5555	250	0.73	chr10	135104802	135105993	1191	+						TUBGCP2							
740	deletion	5557	36	0.40	chr10	134727611	134728337	726	+													
741	deletion	5559	296	0.29	chr10	132909060	132912781	3721	+						TCERG1L							
742	deletion	5560	40	0.96	chr10	132158534	132158976	442	+													
743	complex	5562;5563	32;23	0.40;0.40																		
744	deletion	5564	16	0.98	chr10	128106485	128106799	314	+													
745	deletion	5566	201	0.58	chr10	127583327	127589357	6030	+						FANK1							
746	deletion	5574	80	0.88	chr10	122226773	122228921	2148	+						PPAPDC1A							
747	deletion	5576	16	1.00	chr10	119634283	119634614	331	+													
748	deletion	5578	29	0.67	chr10	117711617	117712003	386	+													
749	deletion	5580	83	1.00	chr10	111572124	111578230	6106	+													
750	deletion	5581	130	0.06	chr10	107995994	107997734	1740	+													
751	deletion	5582	23	0.73	chr10	107253002	107253355	353	+													
752	deletion	5584	29	0.23	chr10	105053426	105054456	1030	+													
753	complex	5585;5586	12;17	0.40;0.40											LOXL4							
754	deletion	5587	328	1.00	chr10	99034867	99037401	2534	+						ARHGAP19							
755	deletion	5589	159	0.81	chr10	95545477	95546495	1018	+						LGI1							
756	deletion	5590	65	0.98	chr10	94134599	94137653	3054	+													
757	deletion	5591	13	0.98	chr10	92969231	92969569	338	+													
758	deletion	5592	448	0.81	chr10	84237977	84238470	493	+						NRG3							
759	deletion	5593	26	0.50	chr10	82750298	82752651	2353	+													
760	deletion	5596	419	0.96	chr10	81092182	81092780	598	+													
761	deletion	5598	378	0.00	chr10	80935213	80936458	1245	+						ZMIZ1							
762	deletion	5604	26	0.98	chr10	78800911	78801230	319	+						KCNMA1							
763	deletion	5605	42	0.63	chr10	78255578	78261025	5447	+						C10orf11							
764	deletion	5607	49	0.00	chr10	74172562	74175014	2452	+						CBARA1							
765	deletion	5609	145	0.33	chr10	72448740	72451339	2599	+						ADAMTS14							
766	deletion	5610	50	0.21	chr10	71281104	71291193	10089	+													
767	deletion	5611	35	0.73	chr10	70786361	70787344	983	+													
768	deletion	5612	101	0.40	chr10	67306934	67315296	8362	+													
769	deletion	5614	113	0.54	chr10	66398774	66400748	1974	+													
770	deletion	5615	50	0.33	chr10	65509250	65511401	2151	+													
771	deletion	5616	93	0.00	chr10	64005413	64006007	594	+						RTKN2							
772	deletion	5617	277	0.29	chr10	59209787	59211853	2066	+													
773	deletion	5619	18	0.73	chr10	57702047	57702387	340	+													
774	deletion	5620	21	0.29	chr10	56682780	56684360	1580	+													
775	deletion	5622	15	0.27	chr10	54783542	54788829	5287	+													
776	deletion	5624	40	0.31	chr10	54015847	54018363	2516	+						PRKG1							
777	deletion	5626	20	1.00	chr10	49917171	49917494	323	+						WDFY4							
778	deletion	5628	149	1.00	chr10	47642743	47643159	416	+													
779	complex	5629;5630	46;46	1.00;1.00																		
780	deletion	5633	11	0.81	chr10	43274211	43274543	332	+													
781	deletion	5683	10	0.81	chr10	35593222	35593552	330	+						CCNY							
782	deletion	5685	15	1.00	chr10	32705737	32706075	338	+													
783	deletion	5686	229	0.73	chr10	32257881	32260613	2732	+													
784	deletion	5687	160	0.19	chr10	31246747	31251769	5022	+						ZNF438							
785	deletion	5688	14	0.13	chr10	29742245	29742968	723	+													
786	deletion	5689	92	0.63	chr10	29712154	29712729	575	+													
787	deletion	5691	33	0.29	chr10	28650753	28651263	510	+													
788	deletion	5694	43	0.83	chr10	26999076	27002213	3137	+						PDSS1							
789	deletion	5696	17	1.00	chr10	25098089	25098427	338	+													
790	deletion	5698	25	0.29	chr10	19996921	19998381	1460	+						C10orf112							
791	deletion	5699	11	0.94	chr10	19397317	19397655	338	+						LOC100130846							
792	deletion	5700	305	0.71	chr10	18503076	18503590	514	+						CACNB2							
793	deletion	5701	16	0.69	chr10	15532477	15532787	310	+													
794	deletion	5702	69	0.00	chr10	14576638	14608901	32263	+						FAM107B;LOC100289125							
795	deletion	5703	14	0.50	chr10	12596209	12596591	382	+						CAMK1D							
796	deletion	5704	13	0.65	chr10	12288963	12289337	374	+						CDC123							
797	deletion	5709	18	0.96	chr10	9519828	9520134	306	+													
